termin	predlog	padezh	chastota	logDice
направление	в	Loc	754	7.83
множитель	на	Acc	752	10.32
граф	в	Loc	750	7.58
класс	в	Loc	743	7.74
группа	в	Loc	736	7.63
год	до	Gen	716	8.65
сторона	в	Acc	710	9.58
год	в	Gen	697	8.53
доказательство	для	Gen	693	9.2
задача	для	Gen	684	8.64
правило	по	Dat	666	9.65
вычисление	для	Gen	666	9.42
множество	для	Gen	658	8.57
строка	в	Loc	651	7.59
определение	по	Dat	648	9.31
теорема	из	Gen	645	8.99
случай	для	Gen	613	8.8
номер	с	Ins	603	9.47
точка	в	Acc	601	8.68
задача	к	Dat	592	8.82
цвет	в	Acc	583	9.46
итог	в	Loc	577	7.47
поле	в	Loc	571	7.34
условие	в	Loc	564	7.34
задача	из	Gen	558	8.32
индукция	по	Dat	557	9.55
глава	в	Loc	550	7.36
процесс	в	Loc	535	7.31
геометрия	в	Loc	532	7.3
день	в	Acc	528	9.35
ряд	в	Acc	525	9.18
игра	в	Loc	522	7.28
точка	через	Acc	519	9.27
сумма	в	Gen	516	9.76
теорема	по	Dat	513	8.91
язык	в	Loc	506	7.19
дело	в	Loc	505	7.23
часть	на	Gen	505	10.25
точка	для	Gen	505	8.31
определение	из	Gen	501	8.68
язык	на	Acc	500	9.34
название	под	Ins	499	11.87
таблица	в	Loc	499	7.23
модель	в	Loc	498	7.19
параметр	с	Ins	493	9.15
сторона	с	Gen	487	9.86
вершина	в	Loc	486	7.03
конец	до	Gen	484	10.72
доска	на	Loc	481	9.34
единица	на	Acc	479	9.35
доказательство	в	Loc	474	7.05
день	со	Gen	473	11.76
поверхность	на	Loc	469	9.22
теория	в	Acc	466	8.61
определение	для	Gen	464	8.61
деление	при	Loc	463	10.7
место	в	Loc	455	7.05
раз	в	Acc	454	8.93
ситуация	в	Loc	454	7.12
буква	из	Gen	453	8.81
ряд	в	Loc	452	7.04
значение	для	Gen	442	8.45
пример	на	Loc	441	8.81
нуль	к	Dat	441	9.52
пара	для	Gen	441	8.71
система	для	Gen	440	8.42
базис	в	Loc	440	7.06
число	к	Dat	435	7.51
значение	при	Loc	434	9.42
формула	из	Gen	428	8.44
цвет	в	Gen	428	10.22
сумма	в	Loc	423	6.89
вершина	в	Acc	421	8.46
определение	в	Loc	420	6.88
вершина	для	Gen	417	8.3
уравнение	для	Gen	416	8.4
сторона	на	Loc	412	8.82
степень	в	Loc	409	6.86
деление	от	Gen	406	10.29
число	о	Loc	401	7.55
формула	с	Ins	400	8.47
предел	в	Loc	399	6.92
точка	от	Gen	394	8.6
случай	на	Acc	392	8.51
степень	в	Acc	389	8.6
последовательность	в	Loc	389	6.79
условие	из	Gen	388	8.41
запись	в	Loc	388	6.87
цель	с	Ins	388	8.88
свойство	с	Ins	386	8.53
часть	из	Gen	386	8.33
расстояние	на	Loc	385	8.91
слово	для	Gen	384	8.28
точка	с	Ins	379	7.95
единица	из	Gen	378	8.46
окружность	на	Loc	370	8.83
плоскость	в	Loc	369	6.78
текст	в	Loc	368	6.79
цифра	из	Gen	368	8.49
построение	для	Gen	367	8.62
нуль	в	Acc	363	8.7
решение	к	Dat	362	8.64
выбор	от	Gen	362	9.97
работа	на	Acc	360	8.64
нуль	от	Gen	358	9.74
место	на	Acc	355	8.92
соответствие	в	Acc	354	8.84
момент	на	Acc	353	9.13
решение	при	Loc	351	9.01
основание	на	Loc	349	8.85
класс	для	Gen	345	8.31
вершина	с	Ins	344	8.1
наука	в	Loc	344	6.62
функция	с	Ins	342	7.72
состояние	в	Loc	342	6.68
точка	между	Ins	340	8.62
число	между	Ins	337	7.35
основа	в	Loc	337	6.66
элемент	для	Gen	336	8.03
группа	для	Gen	333	7.98
элемент	с	Ins	333	8.09
поле	на	Loc	327	8.37
сумма	с	Ins	325	8.18
жизнь	в	Loc	324	6.61
последовательность	для	Gen	323	8.17
единица	с	Ins	323	8.39
половина	в	Loc	320	6.61
время	по	Dat	318	8.17
формула	в	Loc	316	6.46
слово	в	Loc	315	6.44
множество	в	Acc	312	7.61
список	в	Loc	311	6.55
число	по	Dat	308	6.87
число	от	Gen	306	7.12
квадрат	в	Acc	305	8.45
группа	из	Gen	303	7.8
остаток	с	Ins	301	8.49
граф	из	Gen	301	7.57
параграф	в	Loc	301	6.54
работа	для	Gen	298	7.95
сторона	со	Ins	296	9.9
очередь	по	Dat	296	8.68
год	за	Gen	294	7.44
сумма	в	Acc	293	8.11
задача	с	Ins	292	7.47
свойство	из	Gen	292	7.99
значение	со	Ins	287	9.12
геометрия	по	Dat	287	8.43
время	в	Loc	286	6.29
г.	в	Acc	284	8.36
год	на	Acc	283	7.02
множество	с	Ins	283	7.41
класс	из	Gen	283	7.97
описание	для	Gen	283	8.27
число	в	Acc	282	6.73
условие	по	Dat	280	8.22
значение	с	Ins	279	7.87
произведение	в	Loc	279	6.35
утверждение	из	Gen	277	7.96
уравнение	из	Gen	275	7.76
клетка	из	Gen	275	8.16
путь	на	Loc	272	8.2
граница	на	Loc	268	8.43
предположение	по	Dat	267	8.52
год	к	Dat	266	6.99
пространство	в	Acc	266	7.89
анализ	в	Loc	265	6.29
вопрос	по	Dat	264	8.2
группа	в	Acc	263	7.79
равенство	из	Gen	263	7.97
год	за	Acc	262	7.21
величина	для	Gen	260	7.85
условие	с	Ins	258	7.96
пример	в	Gen	257	8.93
исследование	в	Loc	257	6.25
треугольник	в	Loc	257	6.24
нуль	из	Gen	256	7.94
обозначение	для	Gen	256	8.15
конец	к	Dat	256	8.77
человек	из	Gen	255	7.94
разложение	в	Loc	255	6.27
пример	из	Gen	253	7.77
часть	по	Dat	252	7.97
вид	к	Dat	251	8.22
слово	из	Gen	251	7.62
год	через	Gen	249	7.22
количество	с	Ins	249	7.94
угол	под	Ins	248	10.4
существование	о	Loc	245	9.92
решение	в	Loc	244	6.05
время	к	Dat	243	8.14
день	на	Acc	243	8.57
группа	на	Gen	242	8.73
формулировка	в	Loc	241	6.2
год	на	Gen	240	7.11
произведение	в	Acc	239	8.04
скорость	с	Ins	237	8.12
неравенство	из	Gen	237	7.85
пункт	в	Loc	237	6.18
изучение	для	Gen	237	8.06
значение	от	Gen	236	8.44
способ	из	Gen	234	7.66
состояние	в	Acc	232	8.15
время	со	Ins	231	8.8
теория	к	Dat	231	7.97
алфавит	в	Loc	231	6.15
очередь	в	Acc	228	8.24
список	в	Acc	228	8.15
сфера	на	Loc	227	8.26
конец	с	Ins	226	7.94
пространство	для	Gen	226	7.5
анализ	для	Gen	225	7.81
клетка	в	Loc	225	6.09
пара	на	Acc	223	8.21
дело	по	Dat	222	8.08
книга	из	Gen	221	7.68
группа	с	Ins	219	7.45
область	из	Gen	219	7.63
вывод	к	Dat	218	8.78
ось	на	Loc	218	8.15
доказательство	к	Dat	217	8.12
алгоритм	в	Loc	215	5.91
точка	к	Dat	215	7.49
переход	при	Loc	215	9.64
построение	по	Dat	213	8.11
операция	с	Ins	212	7.84
начало	с	Ins	211	7.87
пара	из	Gen	210	7.58
распределение	с	Ins	208	7.76
скорость	со	Ins	207	10.22
состояние	по	Dat	207	8.04
ребро	из	Gen	207	7.53
граф	к	Dat	206	7.49
уравнение	к	Dat	205	7.95
время	от	Gen	205	8.24
теория	из	Gen	205	7.24
вариант	в	Loc	205	5.94
скобка	в	Loc	205	5.98
сумма	для	Gen	204	7.42
позиция	в	Loc	204	5.96
студент	для	Gen	202	7.85
вектор	для	Gen	202	7.6
теорема	согласно	Dat	200	8.89
свойство	со	Ins	200	9.09
рассуждение	в	Loc	200	5.93
закон	по	Dat	200	7.99
год	спустя	Gen	199	6.9
счёт	за	Acc	199	10.3
строка	из	Gen	197	7.58
оценка	для	Gen	197	7.65
исследование	для	Gen	196	7.63
выражение	в	Loc	196	5.89
действие	под	Ins	196	10.45
раз	по	Dat	196	7.77
матрица	для	Gen	194	7.54
начало	с	Gen	193	8.79
список	из	Gen	193	7.64
лемма	из	Gen	193	7.66
степень	с	Ins	192	7.49
отношение	в	Loc	192	5.84
нуль	с	Gen	192	8.67
обозначение	в	Loc	192	5.87
стрелка	по	Dat	192	8.04
язык	для	Gen	191	7.47
набор	из	Gen	191	7.55
цель	для	Gen	191	7.74
имя	по	Dat	191	7.9
группа	на	Acc	190	7.54
работа	за	Acc	190	8.6
курс	в	Loc	190	5.83
формула	в	Acc	190	7.48
часть	в	Acc	190	7.52
вершина	через	Acc	190	8.39
ограничение	без	Gen	190	10.54
функция	к	Dat	189	7.2
анализ	по	Dat	189	7.82
конец	с	Gen	189	8.69
состояние	из	Gen	188	7.57
множество	к	Dat	187	7.14
доказательство	при	Loc	187	8.41
вектор	из	Gen	187	7.44
плоскость	на	Acc	186	8.09
подмножество	для	Gen	185	7.56
функция	о	Loc	185	7.47
путь	по	Dat	185	7.67
распределение	для	Gen	185	7.49
направление	по	Dat	184	7.92
набор	для	Gen	184	7.55
пара	в	Loc	184	5.74
момент	с	Gen	183	8.83
вершина	на	Loc	183	7.28
круг	в	Loc	183	5.8
раз	на	Acc	183	7.91
вектор	на	Acc	183	7.96
граф	на	Loc	183	7.03
клетка	в	Acc	183	7.85
класс	на	Acc	182	7.85
предположение	в	Loc	181	5.79
момент	к	Dat	181	8.41
положение	в	Loc	181	5.79
функция	от	Gen	180	7.35
принцип	в	Loc	180	5.76
предел	за	Acc	179	9.76
изучение	при	Loc	179	9.44
программа	в	Loc	178	5.74
начало	для	Gen	177	7.52
число	у	Gen	176	6.44
область	в	Acc	176	7.55
г.	с	Gen	175	8.56
основание	по	Dat	175	7.89
основание	с	Ins	175	7.71
алгебра	по	Dat	175	7.76
ось	вокруг	Gen	175	10.86
результат	к	Dat	174	7.93
многочлен	для	Gen	174	7.47
уравнение	в	Acc	173	7.29
элемент	на	Acc	173	7.45
часть	на	Loc	173	7.41
построение	при	Loc	173	9.15
помощь	с	Ins	173	7.52
отрезок	из	Gen	173	7.44
объект	из	Gen	173	7.36
сфера	в	Loc	172	5.72
компьютер	на	Loc	171	7.88
круг	по	Dat	170	7.83
угол	на	Acc	170	8.0
цикл	в	Loc	169	5.65
курс	на	Loc	168	7.68
порядок	по	Dat	168	7.53
точка	до	Gen	168	7.55
класс	в	Acc	168	7.45
вершина	от	Gen	168	7.82
расстояние	на	Acc	168	8.03
уравнение	в	Loc	167	5.53
отображение	для	Gen	167	7.32
аксиома	из	Gen	167	7.51
функция	на	Acc	166	6.91
время	на	Acc	164	7.41
множество	на	Acc	164	6.85
представление	в	Loc	164	5.62
элемент	на	Loc	163	7.15
теория	с	Ins	163	7.02
соотношение	из	Gen	163	7.36
решение	с	Ins	162	7.03
школа	в	Acc	162	7.58
алгебра	в	Loc	162	5.59
объект	с	Ins	162	7.42
основа	в	Acc	162	7.65
вопрос	к	Dat	161	7.94
определение	при	Loc	161	8.18
определение	к	Dat	161	7.68
значение	из	Gen	161	6.95
множество	о	Loc	160	7.21
нуль	в	Loc	160	5.56
принцип	по	Dat	160	7.7
лекция	в	Loc	159	5.57
работа	к	Dat	159	7.63
алгоритм	с	Gen	159	7.91
ход	за	Acc	159	9.54
равенство	в	Acc	159	7.5
школьник	для	Gen	159	7.53
произведение	в	Gen	157	8.47
совокупность	в	Loc	157	5.6
ребро	для	Gen	157	7.19
решётка	на	Loc	157	7.75
число	над	Ins	156	6.26
представление	для	Gen	156	7.37
слово	на	Loc	156	7.16
случай	к	Dat	155	7.31
доказательство	без	Gen	155	8.53
функция	из	Gen	155	6.49
дорога	по	Dat	155	7.79
результат	из	Gen	154	7.06
символ	из	Gen	154	7.32
схема	в	Loc	154	5.54
год	около	Gen	153	6.52
понятие	с	Ins	153	7.41
система	к	Dat	153	7.44
вариант	из	Gen	153	7.28
город	в	Acc	153	7.61
число	среди	Gen	152	6.25
сторона	с	Ins	152	7.27
начало	до	Gen	151	9.15
часть	на	Acc	151	7.45
город	из	Gen	151	7.31
эксперимент	в	Loc	150	5.52
операция	относительно	Gen	149	9.5
лемма	по	Dat	149	7.63
упражнение	к	Dat	149	8.2
кость	на	Loc	149	7.69
сумма	на	Acc	148	7.38
последовательность	из	Gen	148	7.0
поле	для	Gen	148	7.03
выбор	при	Loc	148	8.87
линия	по	Dat	148	7.6
клетка	на	Acc	148	7.89
игра	для	Gen	147	7.25
параметр	от	Gen	146	8.71
движение	при	Loc	146	8.79
противоречие	к	Dat	146	8.33
картинка	на	Loc	146	7.65
работа	из	Gen	145	6.87
система	из	Gen	145	6.78
ящик	в	Loc	145	5.48
задача	на	Acc	143	6.67
случай	из	Gen	143	6.66
треугольник	из	Gen	143	7.08
работа	по	Dat	142	7.09
значение	к	Dat	142	7.37
степень	со	Ins	142	8.51
предел	за	Ins	142	10.33
год	после	Gen	141	6.37
пример	для	Gen	141	6.97
игрок	из	Gen	141	7.24
имя	с	Ins	141	7.3
метод	по	Dat	140	7.14
место	из	Gen	140	7.03
роль	в	Loc	140	5.42
класс	к	Dat	140	7.67
угол	в	Loc	140	5.38
система	в	Acc	139	6.91
константа	на	Acc	139	7.91
пункт	из	Gen	139	7.24
свойство	по	Dat	138	7.18
количество	в	Loc	138	5.31
время	с	Ins	137	6.84
формула	для	Gen	137	6.84
пара	между	Ins	137	8.72
столбец	в	Loc	137	5.39
графа	на	Loc	137	7.5
степень	на	Acc	136	7.35
набор	в	Loc	136	5.34
доказательство	из	Gen	135	6.79
сторона	из	Gen	134	6.94
квадрат	в	Loc	134	5.31
вопрос	в	Loc	134	5.28
схема	по	Dat	134	7.44
конец	на	Loc	134	7.31
величина	по	Dat	134	7.12
окружность	по	Dat	133	7.38
система	с	Ins	132	6.76
объект	для	Gen	132	7.02
ось	по	Dat	132	7.46
граф	с	Ins	132	6.48
сторона	в	Gen	131	8.16
определение	с	Ins	131	6.87
курс	к	Dat	131	7.86
теория	для	Gen	131	6.63
корень	с	Ins	131	7.19
плоскость	в	Acc	131	7.26
ограничение	с	Ins	130	7.3
матрица	с	Ins	130	7.06
метод	с	Gen	129	7.69
пара	в	Acc	129	7.12
угол	с	Ins	129	7.17
величина	на	Acc	129	7.29
понятие	к	Dat	128	7.82
умножение	при	Loc	128	8.69
доска	на	Acc	128	7.77
день	до	Gen	128	9.06
проблема	к	Dat	127	7.8
число	при	Loc	127	5.88
мера	по	Dat	127	7.23
цифра	с	Ins	127	7.11
наука	в	Acc	127	7.01
матрица	на	Acc	127	7.43
точка	о	Loc	126	7.05
вычисление	при	Loc	126	8.51
ход	по	Dat	126	7.36
код	в	Loc	126	5.25
член	из	Gen	125	6.83
применение	с	Ins	125	7.18
имя	под	Ins	125	9.45
ответ	в	Acc	124	7.13
шаг	за	Gen	124	9.34
математика	в	Acc	124	6.85
длина	по	Dat	124	7.04
часть	с	Ins	123	6.81
событие	из	Gen	123	6.91
граф	у	Gen	123	7.29
ящик	по	Dat	123	7.46
группа	к	Dat	122	7.05
знак	со	Ins	122	9.3
наука	по	Dat	122	7.0
группа	на	Loc	121	6.68
система	по	Dat	121	6.75
результат	с	Ins	121	6.85
поле	на	Acc	121	7.19
поле	из	Gen	121	6.69
ось	вдоль	Gen	121	10.35
алфавит	над	Ins	121	10.1
ребро	по	Dat	121	7.04
алгоритм	для	Gen	120	6.65
изменение	без	Gen	120	9.98
изменение	при	Loc	120	8.9
длина	с	Ins	120	6.86
игра	в	Acc	120	7.17
движение	в	Loc	120	5.17
объект	на	Loc	120	7.11
окружность	в	Acc	120	7.18
карта	на	Loc	120	7.29
сторона	по	Acc	119	8.75
отображение	при	Loc	119	8.15
длина	от	Gen	119	7.84
преобразование	при	Loc	119	8.49
код	с	Ins	119	7.12
угол	из	Gen	119	6.89
т	о	?	119	9.23
распределение	о	Loc	119	8.28
внимание	в	Acc	118	7.3
константа	для	Gen	118	7.07
раздел	из	Gen	118	6.96
цель	в	Loc	118	5.17
игрок	у	Gen	118	9.74
распределение	по	Dat	118	7.09
член	с	Ins	117	6.89
изучение	к	Dat	117	7.91
год	через	Acc	116	6.07
решение	из	Gen	116	6.43
работа	при	Loc	116	7.66
подмножество	из	Gen	116	6.83
математика	к	Dat	116	7.17
мера	в	Loc	116	5.1
пространство	из	Gen	116	6.49
проблема	из	Gen	115	6.83
число	на	Loc	114	5.43
метод	в	Loc	114	5.01
начало	в	Acc	114	7.09
курс	по	Dat	114	7.15
граница	с	Ins	114	7.06
равенство	в	Loc	114	5.07
день	в	Gen	114	8.37
проблема	по	Dat	113	7.12
метод	из	Gen	113	6.57
результат	по	Dat	113	6.89
путь	из	Gen	113	6.67
треугольник	для	Gen	113	6.79
начало	от	Gen	112	8.19
формула	с	Gen	112	7.4
дробь	в	Gen	112	8.6
шаг	из	Gen	111	6.76
работа	с	Ins	111	6.61
буква	для	Gen	111	6.83
размер	от	Gen	111	8.21
пересечение	на	Loc	111	7.16
утверждение	по	Dat	110	6.91
дерево	для	Gen	110	6.81
сторона	на	Acc	109	7.18
запись	для	Gen	109	6.89
количество	по	Dat	109	6.89
упражнение	в	Loc	109	5.05
таблица	в	Acc	108	7.04
часть	к	Dat	108	7.15
мера	с	Ins	108	6.85
вершина	к	Dat	108	6.87
количество	на	Acc	108	7.11
модель	для	Gen	108	6.71
число	с	Gen	107	5.56
доказательство	с	Ins	107	6.59
форма	с	Ins	107	6.79
точка	на	Acc	107	6.37
размер	в	Loc	107	5.0
сторона	по	Dat	106	6.89
начало	к	Dat	106	7.55
значение	о	Loc	106	7.42
значение	по	Dat	106	6.59
степень	для	Gen	106	6.55
таблица	из	Gen	106	6.75
точка	по	Dat	106	6.21
человек	у	Gen	106	8.79
человек	для	Gen	106	6.73
структура	в	Loc	106	5.0
величина	из	Gen	106	6.51
диаграмма	на	Loc	106	7.11
занятие	на	Loc	106	7.18
исследование	к	Dat	105	7.49
строка	в	Acc	105	6.93
набор	с	Ins	105	6.85
сложность	для	Gen	105	6.79
выбор	для	Gen	105	6.8
пространство	с	Ins	105	6.47
работа	в	Gen	104	7.42
элемент	между	Ins	104	7.54
исследование	по	Dat	104	6.98
набор	на	Loc	104	6.96
событие	для	Gen	104	6.72
количество	для	Gen	104	6.58
частота	с	Ins	104	7.01
лекция	на	Loc	103	6.97
остаток	без	Gen	103	9.46
линия	на	Loc	103	7.05
квадрат	на	Acc	102	7.19
момент	до	Gen	102	8.78
позиция	из	Gen	102	6.78
данных	на	Loc	102	7.02
ось	относительно	Gen	102	9.68
матрица	в	Loc	102	4.9
класс	на	Gen	101	8.22
граница	за	Acc	101	8.91
позиция	на	Loc	101	7.08
структура	с	Ins	101	6.87
стрелка	против	Gen	101	10.5
утверждение	в	Loc	100	4.85
ошибка	с	Ins	100	6.89
знак	с	Ins	100	6.84
путь	в	Loc	100	4.86
вероятность	по	Dat	100	6.53
вектор	с	Ins	100	6.69
решение	по	Dat	99	6.43
квадрат	из	Gen	99	6.58
время	через	Acc	99	7.61
алгоритм	из	Gen	99	6.33
слово	от	Gen	99	7.25
вершина	до	Gen	99	7.31
симметрия	с	Ins	99	6.89
форма	к	Dat	98	7.28
функция	с	Gen	98	6.41
коэффициент	для	Gen	97	6.6
число	до	Gen	97	5.54
форма	из	Gen	97	6.5
информация	с	Ins	97	6.8
класс	с	Ins	97	6.57
вычисление	в	Loc	97	4.85
вероятность	для	Gen	97	6.29
применение	для	Gen	97	6.7
дробь	в	Acc	97	7.01
раскраска	для	Gen	97	6.79
курс	на	Acc	96	7.18
форма	для	Gen	96	6.54
слово	по	Dat	96	6.48
выбор	на	Loc	96	6.91
путь	о	Loc	96	7.82
жизнь	о	Loc	96	8.44
грань	с	Ins	96	6.83
перестановка	в	Loc	96	4.85
порядок	с	Ins	95	6.57
язык	из	Gen	95	6.42
единица	к	Dat	95	7.23
мера	относительно	Gen	95	8.75
сложность	о	Loc	95	8.28
корень	от	Gen	95	7.96
остаток	об	Loc	95	9.75
уравнение	с	Ins	94	6.34
шаг	на	Acc	94	7.09
работа	на	Loc	94	6.47
последовательность	в	Acc	94	6.57
автор	из	Gen	94	6.58
выбор	в	Loc	94	4.82
глава	из	Gen	94	6.54
пространство	на	Acc	94	6.63
применение	в	Loc	94	4.83
грань	на	Loc	94	6.94
вид	из	Gen	93	6.18
число	за	Acc	93	5.48
отношение	с	Ins	93	6.68
анализ	при	Loc	93	7.97
исследование	при	Loc	93	8.02
базис	по	Dat	93	6.93
вершина	у	Gen	93	7.36
ход	после	Gen	93	9.37
отрезок	в	Loc	93	4.8
график	на	Loc	93	6.99
пример	с	Ins	92	6.44
ответ	с	Ins	92	6.6
сумма	из	Gen	92	6.23
шаг	после	Gen	92	8.83
элемент	к	Dat	92	6.7
значение	на	Acc	92	6.58
функция	в	Loc	92	4.5
знак	до	Gen	92	8.6
базис	с	Ins	92	6.75
движение	о	Loc	92	8.2
множество	по	Dat	91	5.86
очередь	в	Loc	91	4.8
ряд	для	Gen	91	6.45
день	за	Gen	91	9.31
число	через	Acc	90	5.47
математик	для	Gen	90	6.46
математик	из	Gen	90	6.4
курс	из	Gen	90	6.49
сила	в	Loc	90	4.75
алгебра	из	Gen	90	6.48
цепь	в	Loc	90	4.79
цвет	из	Gen	90	6.5
теорема	с	Ins	89	6.26
элемент	п	Gen	89	7.56
построение	к	Dat	89	7.39
цикл	из	Gen	89	6.44
действие	с	Ins	89	6.7
круг	в	Acc	89	6.84
позиция	с	Gen	89	7.95
равенство	к	Dat	89	7.19
упражнение	в	Gen	89	8.15
доля	в	Loc	89	4.77
проблема	с	Ins	88	6.61
решение	о	Loc	88	7.05
решение	на	Acc	88	6.45
элемент	в	Acc	88	6.25
подмножество	на	Loc	88	6.72
правило	из	Gen	88	6.42
слово	в	Acc	88	6.32
цикл	по	Dat	88	6.74
теорема	с	Gen	87	6.97
теорема	в	Loc	87	4.59
группа	по	Dat	87	6.23
буква	с	Ins	87	6.59
единица	в	Loc	87	4.67
место	с	Gen	87	7.42
ряд	в	Gen	87	7.62
цепочка	в	Loc	87	4.74
данных	для	Gen	87	6.54
вектор	на	Loc	87	6.61
площадь	на	Loc	87	6.82
уравнение	по	Dat	86	6.33
книга	к	Dat	86	7.08
пример	к	Dat	86	6.9
шаг	с	Ins	86	6.54
алгоритм	по	Dat	86	6.38
операция	для	Gen	86	6.44
цикл	в	Acc	86	6.65
игра	при	Loc	86	8.0
позиция	в	Acc	86	6.82
процесс	для	Gen	86	6.46
геометрия	к	Dat	86	7.19
вопрос	из	Gen	85	6.27
система	на	Acc	85	6.43
закон	из	Gen	85	6.43
умножение	с	Ins	85	6.61
шар	в	Loc	85	4.69
объект	на	Acc	85	6.9
грань	из	Gen	85	6.48
матрица	из	Gen	85	6.3
порядок	от	Gen	84	7.44
анализ	в	Acc	84	6.59
точка	без	Gen	84	6.65
многочлен	на	Acc	84	6.95
конец	в	Acc	84	6.61
граф	в	Gen	84	6.47
время	с	Gen	83	6.82
степень	по	Dat	83	6.42
формула	к	Dat	83	6.71
связь	в	Loc	83	4.64
окружность	к	Dat	83	7.22
комбинация	в	Gen	83	8.22
изучение	по	Dat	83	6.84
карта	в	Loc	83	4.65
программа	по	Dat	82	6.73
подмножество	в	Loc	82	4.61
функция	по	Dat	82	5.75
строка	по	Dat	82	6.63
мера	для	Gen	82	6.35
вершина	с	Gen	82	6.69
вероятность	о	Loc	82	7.1
объединение	в	Gen	82	8.13
угол	в	Acc	82	6.62
граф	по	Dat	82	5.89
день	за	Acc	82	8.49
число	на	Gen	81	5.31
сторона	к	Dat	81	6.95
теорема	к	Dat	81	6.62
вывод	для	Gen	81	6.49
единица	за	Acc	81	7.98
точка	через	Gen	81	6.69
точка	относительно	Gen	81	6.64
принцип	из	Gen	81	6.39
тип	из	Gen	81	6.31
вершина	на	Acc	81	6.31
дорога	на	Loc	81	6.82
треугольник	в	Acc	81	6.51
распределение	из	Gen	81	6.25
разложение	в	Acc	81	6.69
множество	в	Gen	80	6.15
поле	с	Ins	80	6.23
размер	по	Dat	80	6.65
корень	для	Gen	80	6.37
корень	из	Gen	80	6.32
вектор	между	Ins	80	8.02
положение	в	Acc	80	6.71
начало	после	Gen	79	8.77
подмножество	на	Acc	79	6.86
школа	для	Gen	79	6.34
математика	с	Ins	79	6.11
произведение	с	Ins	79	6.35
оценка	с	Ins	79	6.44
действие	в	Loc	79	4.58
ряд	с	Ins	79	6.35
геометрия	с	Ins	79	6.42
описание	в	Loc	79	4.58
величина	с	Ins	79	6.23
т	с	?	79	8.64
карта	из	Gen	79	6.38
факт	из	Gen	78	6.37
функция	через	Acc	78	6.39
количество	от	Gen	78	7.29
объект	между	Ins	78	8.1
сумма	о	Loc	77	7.14
работа	о	Loc	77	7.11
система	о	Loc	77	6.91
член	в	Nom	77	8.36
алгебра	в	Acc	77	6.52
вершина	по	Dat	77	6.05
объединение	в	Loc	77	4.56
область	с	Ins	77	6.26
ось	с	Ins	77	6.51
игрок	для	Gen	77	6.43
поверхность	для	Gen	77	6.37
время	до	Gen	76	7.08
доказательство	о	Loc	76	7.15
название	в	Loc	76	4.53
построение	в	Loc	76	4.52
умножение	для	Gen	76	6.34
оценка	в	Loc	76	4.5
возможность	о	Loc	76	8.14
дерево	из	Gen	76	6.22
мир	по	Dat	76	6.59
величина	от	Gen	76	7.14
перестановка	при	Loc	76	7.96
положение	из	Gen	76	6.35
решётка	в	Loc	76	4.54
коэффициент	на	Acc	75	6.75
задача	о	Loc	75	6.14
метод	о	Loc	75	7.2
язык	с	Gen	75	7.11
операция	с	Gen	75	7.35
принцип	на	Loc	75	6.58
конец	из	Gen	75	6.19
край	на	Loc	75	6.72
граница	по	Dat	75	6.62
